table,direction,product_code_id,product_code,location_role,location,currency,counterparty_agent_id,counterparty_carrier_id,lane_origin,lane_destination,rate_per_kg,rate_per_shipment,min_charge,max_charge,percent_rate,is_additive,weight_breaks,valid_from,valid_until,duplicate_routes,conflict
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,HIR,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,HIR,0.0500,12.00,,,,True,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,HKG,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,HKG,0.0500,12.00,,,,True,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,MNL,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,MNL,0.0500,12.00,,,,True,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,NAN,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,NAN,0.0500,12.00,,,,True,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,SIN,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,SIN,0.0500,12.00,,,,True,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,VLI,0.0500,12.00,,,,True,,2025-01-02,2025-12-31,6,False
ExportSellRate,EXPORT,1040,EXP-SCREEN,origin,POM,USD,,,POM,VLI,0.0500,12.00,,,,True,,2026-01-02,2026-12-31,6,False
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,AUD,,,POM,BNE,0.5000,,50.00,250.00,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,AUD,,,POM,BNE,0.5000,,50.00,300.00,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,AUD,,,POM,CNS,0.5000,,50.00,250.00,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,AUD,,,POM,CNS,0.5000,,50.00,300.00,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,AUD,,,POM,SYD,0.5000,,50.00,250.00,,False,,2025-01-02,2025-12-31,3,True
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,AUD,,,POM,SYD,0.5000,,50.00,300.00,,False,,2026-01-02,2026-12-31,3,True
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,PGK,,,POM,BNE,1.5000,,95.00,500.00,,False,,2025-01-01,2025-12-31,9,False
ExportSellRate,EXPORT,1050,EXP-PICKUP,origin,POM,PGK,,,POM,CNS,1.5000,,95.00,500.00,,False,,2025-01-01,2026-12-31,9,False
